_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
156.10909100	-57.76157000	156.109091	-57.761570	10242618-5745416	16.469	0.152	15.731	0.145	13.315		BBU	220	110	cc0	2	0
156.06524900	-57.76835600	156.065249	-57.768356	10241565-5746060	14.932	0.163	14.370	0.229	13.047	0.139	CDB	222	111	000	2	0
156.07192800	-57.77983900	156.071928	-57.779839	10241726-5746474	14.299		13.566		13.146	0.157	UUC	002	001	000	2	0
156.09189300	-57.75743100	156.091893	-57.757431	10242205-5745267	15.617	0.086	14.970	0.097	14.791	0.137	AAB	222	111	pcc	2	0
156.07225200	-57.77172900	156.072252	-57.771729	10241734-5746182	15.605	0.076	15.479	0.129	16.281	0.583	ABD	222	111	000	2	0
156.10802600	-57.78444300	156.108026	-57.784443	10242592-5747039	11.549	0.024	11.420	0.023	11.390	0.026	AAA	222	111	000	2	0
156.06505800	-57.78646100	156.065058	-57.786461	10241561-5747112	15.190	0.064	14.701	0.095	13.735	0.170	AAE	222	111	0cc	2	0
156.12213800	-57.77227400	156.122138	-57.772274	10242931-5746201	16.259	0.131	15.349	0.134	14.815	0.121	BBB	222	111	000	2	0
156.06629600	-57.75828600	156.066296	-57.758286	10241591-5745298	15.738		15.526	0.140	14.070		UBU	626	020	0c0	2	0
156.16766100	-57.78131900	156.167661	-57.781319	10244023-5746527	15.474	0.060	14.682	0.082	14.419	0.103	AAA	222	111	ccc	0	0
156.16976400	-57.76446500	156.169764	-57.764465	10244074-5745520	16.486	0.154	15.389	0.140	14.864	0.143	BBB	222	111	ccc	2	0
156.15799000	-57.77715700	156.157990	-57.777157	10243791-5746377	15.554	0.068	14.973	0.104	14.527	0.115	AAB	222	111	000	0	0
